Dryopteris.expansa;Gymnocarpium.dryopteris;Phegopteris.connectilis;Leptorumohra.amurensis;Athyrium.filix-femina;Deparia.pycnosora;Dryopteris.crassirhizoma;Osmundastrum.asiaticum;Diplazium.sibiricum;Pteridium.aquilinum;Polypodium.sibiricum;Athyrium.sinense;Abies.sachalinensis;Picea.jezoensis;Betula.ermanii;Sorbus.commixta;Kalopanax.septemlobus;Fraxinus.mandshurica;Larix.gmelinii;Salix.caprea;Quercus.mongolica;Pinus.sylvestris;Prunus.ssiori;Salix.udensis;Betula.platyphylla;Picea.glehnii;Ulmus.japonica;Alnus.hirsuta;Acer.mayrii;Crataegus.chlorosarca;Populus.tremula;Hydrangea.petiolaris;Actinidia.kolomikta;Atragene.ochotensis;Toxicodendron.orientale;Schisandra.chinensis;Vitis.coignetiae;Actinidia.arguta;Schizophragma.hydrangeoides;Eleutherococcus.senticocus;Taxus.cuspidata;Skimmia.repens;Viburnum.furcatum;Pinus.pumila;Rosa.acicularis;Spiraea.betulifolia;Sorbus.sambucifolia;Euonymus.macropterus;Acer.ukurunduense;Lonicera.sachalinensis;Euonymus.sachalinensis;Sambucus.racemosa;Weigela.middendorffiana;Spiraea.media;Ribes.latifolium;Hydrangea.paniculata;Lonicera.glehnii;Lonicera.chrysantha;Ribes.sachalinense;Daphne.jezoensis;Aralia.elata;Juniperus.sibirica;Swida.alba;Prunus.maximowiczii;Prunus.padus;Viburnum.wrightii;Rosa.amblyotis;Ribes.pallidiflorum;Euonymus.planipes;Sorbaria.sorbifolia;Euonymus.sieboldianus;Alnus.alnobetula;Lonicera.chamissoi;Prunus.sachalinensis;Betula.fruticosa;Vaccinium.uliginosum;Menziesia.pentandra;Vaccinium.ovalifolium;Ledum.palustre;Vaccinium.smallii;Vaccinium.praestans;Empetrum.sibiricum;Pyrola.minor;Moneses.uniflora;Rhododendron.aureum;Chimaphila.umbellata;Monotropa.hypopitys;Orthilia.secunda;Vaccinium.vitis-idaea;Pilosella.aurantiaca;Trifolium.repens;Veronica.officinalis;Taraxacum.officinale;Hieracium.umbellatum;Sasa.species;Linnaea.borealis;Ilex.rugosa;Parasenecio.auriculatus;Carex.falcata;Clintonia.undensis;Asarum.heterotropoides;Trientalis.europaea;Equisetum.sylvaticum;Oxalis.acetosella;Solidago.virgaurea;Coptis.trifolia;Cornus.canadensis;Calamagrostis.purpurea;Maianthemum.dilatatum;Carex.sachalinensis;Cirsium.kamtschaticum;Trillium.camschatcense;Rubus.sachalinensis;Waldsteinia.ternata;Epipactis.papilosa;Anemone.debilis;Angelica.maximowiczii;Carex.species;Maianthemum.bifolium;Actaea.simplex;Angelica.sachalinensis;Paris.verticillata;Diphasiastrum.complanatum;Anaphalis.margaritacea;Viola.species;Lycopodium.obscurum;Chamaenerion.angustifolium;Polygonatum.odoratum;Angelica.genuflexa;Lilium.debile;Luzula.rufescens;Actaea.erythrocarpa;Circaea.alpina;Petasites.japonicus;Agrimonia.pilosa;Picris.japonica;Aruncus.dioicus;Heracleum.lanatum;Parasenecio.hastatus;Convallaria.keiskei;Galium.kamtschaticum;Botrychium.robustum;Viola.kamtschadalorum;Stellaria.fenzlii;Hemerocallis.esculenta;Aralia.cordata;Lysichiton.camtschatcense;Agrostis.gigantea;Trillium.smallii;Platanthera.species;Lycopodium.annotinum;Lycopodium.clavatum;Saussurea.species;Osmorhiza.aristata;Arisaema.serratum;Artemisia.montana;Thalictrum.minus;Thalictrum.contortum;Milium.effusum;Carex.pallida;Oreorchis.patens;Vicia.species;Paeonia.obovata;Thalictrum.sachalinense;Pleurospermum.uralense;Tanacetum.vulgare;Luzula.multiflora;Filipendula.camtschatica;Poa.species;Antennaria.dioica;Carex.dolichostachya;Artemisia.opulenta;Impatiens.noli-tangere;Senecio.cannabifolius;Achillea.millefolium;Stellaria.bungeana;Luzula.species;Fimbripetalum.radians;Geranium.erianthum;Galium.odoratum;Iris.laevigata;Lamiaceae.species;Carex.maximowiczii;Angelica.gmelinii;Brylkinia.caudata;Agrostis.species;Galium.triflorum;Artemisia.koidzumii;Aconogonon.weyrichii;Caltha.fistulosa;Streptopus.streptopoides;Huperzia.serrata;Veratrum.grandiflorum;Luzula.plumosa;Melica.nutans;Aegopodium.alpestre;Symplocarpus.renifolius;Adoxa.moschatellina;Schizachne.callosa;Phalaroides.arundinacea;Carex.campylorhina;Synurus.deltoides;Cornus.suecicum;Aconitum.umbrosum;Carex.schmidtii;Trautvetteria.japonica;Moehringia.lateriflora;Equisetum.fluviatile;Saussurea.duiensis;Cinna.latifolia;Carex.disperma;Equisetum.palustre;Rubus.chamaemorus;Aster.glehnii;Iris.setosa;Lactuca.sibirica;Juncus.filiformis;Veratrum.oxysepalum;Aconitum.fischeri;Platanthera.extremiorientalis;Arnica.sachalinensis;Ptarmica.japonica;Carex.cespitosa;Stellaria.humifusa;Cortusa.sachalinensis;Rubus.pedatus;Ligusticum.scoticum;Hemerocallis.middendorffii;Equisetum.hyemale;Saussurea.triangulata;Carex.globularis;Listera.cordata;Diphylleia.grayi;Avenella.flexuosa;Galium.boreale;Ephippianthus.sachalinensis;Rubus.arcticus;Anemone.sciaphila;Anemone.species;Ligularia.fischeri;Huperzia.chinensis;Scutellaria.species;Equisetum.pratense;Allium.ochotense
0;0;0;0.3;0;0;0;0.3;0;0;0;0;1;0.3;0;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.3;0;0;0;0;0;0;0;0;0;0;0;0.5;0;0;0.3;0;0.5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.3;0;0;0.1;0;0;0;0;0;5;0.3;70;40;0;0.5;0;0.3;0.5;0;0;0;0;3;3;0.5;0;0;0;0;0;0;0.3;0;0;0.3;0;0;0;0;0;0.5;0;0;0.5;0;0;0;0;0;0.3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.3;0;0;0;0;0.3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
0;1;0.3;5;0;0.3;0;0.3;0;0;0;0;1;0.3;0;5;0;0;0;0;0;0;0;0;0.5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.3;0;0;0.3;2;0.5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.5;0;0.3;0.1;0.3;0;0;0;0;0;0.3;30;70;0.3;1;0.3;0.3;0;0.3;0;0;0;7;0.5;0.5;0;0;0;0;0;0.3;0;0;0;0.3;0;0;0;0;0;0.3;0.3;0.3;0;0;0.3;0;0;0;0.1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
0.3;0.3;0.3;0.3;0;0;0;0.3;0;0;0;0;0.3;0.5;0;7;0;0;0;0.5;0;0;0;0;0;0;0;0;0;0;0;0;0.3;0;0;0;0;0;0;0;0;0;0;0;0.5;0;0;0.3;0;0.3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.5;0;0;0.3;0;0;0;0.3;0;3;0.3;70;30;0.5;0.5;0;0;0;0;0;0;0;0.3;0.3;0.3;0;0;0;0;0;0.3;0.3;0;0;0;0;0;0;0;0;0.3;0.3;0.1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
3;0.5;0.5;10;0;0;0;10;0;0;0;0;0;0.1;0;0.5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5;0;0;5;0;0;0;0;0;0;0;0;0;0;0.5;5;0;0;0;0.3;5;0;1;0;0;0.1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.3;0;0;0;0;0;0;0.3;0.3;0;25;0.3;2;70;0;1;0.1;0.1;0;0;0;0;0.5;2;1;0.3;0;0;0;0;0;0.3;0.3;0.3;0.3;0.5;0.3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0.1;0;0;0;0;0;0.3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
0.3;0;0;3;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0.1;0;0;0;0;0;0;0;0;0.3;0;0;0.1;0;0;0;0.3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.1;0;0;0;0;0;0;0;0;0;0;0;0.3;0;0;0.3;0;0;0.3;0.3;95;0.1;0.3;0.3;0.3;0;0;0;0;0.3;0;1;0.1;0;0;0;0;0;0.3;0;0;0.3;0.3;0;0;0.3;0;0;0;0;0;0;0;0.3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.3;0;0;0;0;0;0;0;0;0.3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2;0;0;40;0;0;0;7;0;0;0;0;0.1;0;0;0.3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.5;0;0;0;0.1;0.5;0;0.3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0.3;10;60;0;0.3;0;0;0;0;0;0;0.5;0;3;0.3;0;0;0;0;0;0;0.3;0;0;0;0;0;0.3;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
0;0;2;25;0;0;0;15;0;0;0;0;0;2;0;0.3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.5;0;0;0;0;0;0;0;0;0;0;0;3;0;0;0;0;0;0;0;0;0.5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.3;0;0;0.3;0;1;2;50;0;0.3;0.3;0.3;0;0.3;0.3;0;0;0;0;5;0.3;0;0.5;0;0;0.3;0;5;0;0.3;0;0;0.3;0.3;0.3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.3;0;0.5;0;0;0.3;0;0;0.3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
0.5;0;0.3;25;0;0;0;20;0;0;0;0;0;0.5;0;0.3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.5;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0.5;0;0;0;0;0.3;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.1;0.3;0;0;2;50;0;0.3;0.3;0.1;0;0.3;0.3;0;0;0;0.5;5;0.3;0;0.3;0;0;0.3;0;5;0.3;0;0;0;0;0.1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.3;0;0;0.3;0;0;0;0;0;0.3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
0;0;0;5;0;0;0;2;0;0;0;0;5;0.1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.3;0;0;0.3;0;0;0;0;0;0;0;0.3;0.3;0;0;0.3;0.3;0.1;0;0;0.1;0;0.3;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.3;0;0.3;0;0;0;0;0;0;0.3;0.3;0;0;0;0;0;0;0;0.3;0;0;0;5;0;0;0.5;0.3;0;5;0.3;2;0;0.3;0;0;0.3;0;0.3;0;0;0.3;0;0;0.3;0.3;0;0;0.3;0;0;0;0.3;0.3;0.5;0;0.1;0;0;0.3;0;0;0;0.3;0;0.3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
0.5;0;0;30;0;0;0;5;0;0;0;0;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0.5;0.3;0;1;0;0;0.5;0;0.3;0;0;0;0.3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0.3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.3;0;0;2;0.1;0;0.5;0.3;0;2;0.3;5;0;0.3;0;0;0.3;0.1;0.3;0;15;0.3;0;0;0.3;0;0;0;0;0;0;0.3;0.3;0.3;0.3;0.3;0;0;0;0.3;0;0;0;0.3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
10;1;0;60;0;0;0;1;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0.3;0.3;0;1;0.3;0.5;0;0.3;0.1;0;0.3;0;0.3;0;0.3;0.3;0.5;0;0.3;0;0;0;0;0;0.3;0;0.3;0.3;0.3;6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
0.5;0;0;2;0;0;0;1;0;0;0;0;0.3;0.3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.5;0;0;0;0;0.3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;10;1;80;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.5;1;0.3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2;0;0.3;40;0;0;0;5;0;0;0;0;0;0;0;0.1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.3;0;0;0;0;0;0;0;0.3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0.3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.3;0;0;0;0;0;0.3;0.3;0;0;0.3;15;0;0.3;0.3;0;0;0;0;0;0;0;0.3;0.1;0.3;0;0;0;0;0;0.1;0;0.3;0.3;0.3;0.3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
0.5;0;0.5;1;0;0;0;1;0;0;0;0;0.3;1;0;0.5;0;0;0;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.5;0.1;0.5;0;0;0.1;0;0.5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.3;0;0;0;0;0;0;1;5;0;0;0;0;0;0;0;0.3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.3;0;0;1;80;0;0;0;0;0;0.1;0;0.3;0;0;0;0;0;10;0;0;0.3;0;0;0;0;0.3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
0.3;0;0;0.5;0;0;0;0;0;0;0;0;5;2;0.5;0.3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0.5;0;0;0;1;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.5;0;0;0;0;0;0;0.3;0;0;0;0;0;0;0;0;0;0.3;0;0;0;0;0;10;0.1;0;0;0;0;0;0;2;0.3;3;0.5;5;35;0;0.3;0;0;0;0;0.1;5;0;0;0;0;0;1;0;0;0;0;0;0;0;0.3;0;0;0;0;0;0.3;0;0;0;0;0;0;0;0;0;0;0;0;0;0.3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
0;0;0;0.3;0;0;0;0;0;0;0;0;24;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;80;0;0;0;0;0;0.3;0;0;0.3;0;0;0;0;0.5;2;0;0;0.1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5;0;0;0;0;0.3;0;0;0;0;0;0;0;0;0;3;0;0;0;0;0;0;0;3;0;0;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;90;0;0;0.3;0;0;0;0;0;0;0;0;0;0;0.1;0;0;0.3;0;0;0;0;0;0;0;0.3;0.3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.5;0;0;0;0;0;0.3;0.5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
1;0;0.3;0.3;0;0;0;0.3;0;0;0;0;0.5;0;0;3;4;0;0;0;0.3;0;10;0;0;0;0;0;0;0;0;0.3;7;0.3;0;0;0;0;0;5;0;5;0.3;0;0;0;0;1;0;0.5;0.5;0;0;0;0.3;0;0.3;0.5;3;0;0;0;0;0.3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5;0.3;0;0;0.3;0;0;0;0.3;0;3;0;7;60;0.3;0.1;0.1;0.1;0;0.1;0;0;0;2;1;0.3;0;0;0.3;0;0;3;0;0;0;0.3;0.3;0.1;0;0;0;0;0.3;0;0;0;0;0.3;0;0.3;0;0;0;0;0;0;0;3;0;0;0;0;0;0;0.3;0;0;0;0.3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
5;5;0.5;0.5;0;0;0;0.5;0;0;0;0;5;0;0;4;0;0;0;0;1;0;0;0;0;0;0;0;0.3;0;0;1;21;1;0;0;0.1;0;0;0.3;0;10;0.3;0;0;0;0;0;0.5;0;0;0;0;0;0;20;1;0.3;0;0;0.5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.3;0.3;0;0;0.3;0;0;0;0;0;0;0.3;5;50;0.3;0.1;5;0.3;0;0.3;0;0;0;0.5;0.3;0;0;0;0;0;0;0.3;0.3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
0;0;0;0.3;0;0;0;0.3;0;0;0;0;2;0;0;0.3;0.5;0;0;0;0.3;0;0;0;0;0;0;0;0;0;0;0;0.3;0.3;0;0;0;0;0;0.3;0.5;0.3;0.5;0;0;0;0;0.3;0;0.3;0.3;0;0;0;0.1;0;0;0;0;0.3;0;0;0;0;0;0.3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.1;0;5;0;0.3;0.5;0;0.3;2;0;0;1;0.5;0;0.5;0.3;5;50;0.3;0;0;0.3;0;0.3;0;0;0;1;0;0.1;0;0;0;0;0;0.5;0;0;0;0;0;0;0;0;0.3;0;0;0;0;0;0.3;0;0;0.3;0;0;0;0.3;0;0;0;0.3;0;0;0;0;0;0;0.3;0;0;0;0.3;0;0;0;0.1;0;0;0;0;0;0;0;0;0;0;0.3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
1;0.5;0.3;0.3;0;0;0;0;0;0;0;0;0;0;0;0.3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.3;0;0;0;0;0;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;40;0;0;0;0;0;0;0;0;0.5;0;0;0.5;0;1;0;0.3;0;0.3;0.3;0;0.1;0;0.3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.5;0;0;0;0;0;0.1;0;0.3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
